FirstName, LastName, Street, City, State, Zip
Minnie,Mouse,999 Surly St,Anywhere,CA,689812
Santa,Claus,888 Igloo Way,North Pole,AK,60267
Mickey,Mouse,19 Glacier Way,South Pole,WA,19024
Andy,Worhol,99 Queensland St,Bakesville,NV,60267
Sam,Spade,85808 Brown Way,Taft,CA,88776
Wandra,Fish,8765 White Ave,Lamont,CA,37178
Darcy,Duck,1983 Cantalope St,Lost Hills,CA,96651
Daffy,Duck,2222 Grapefruit Lane,Weedpatch,WY,60267
Charlie,Brown,2200 Toast Way,Lamont,CA,77934
Clarke,Kent,1098 Soda St,Yosemite,WA,84426
Larry,Stooges,345 Great Falls,Joshua Tree,NP,12634
Donald,Duck,3400 Angel Falls,Sequoia,CA,44016
George,Carmichel,999 Sister Lane,Mojave,CA,41095
Samantha,Spade,334 Brown St,Colorado,WY, 19899
Ryan,Miller,1982 Wagner Dr,Manhattan,NY,57426
Jethro,Tull,888 18th St,Taft,CA,99817
Cynthia,Jones,888 South Hwy,Los Angeles,CA,57426 
Mighty,Mouse,3434 Purple St,Anchorage,CA,35156
Elena,Quintan,888 Orange ave,Denali,AK,60267
Mitzi,Mouse,198 Waterfall Way,Reno,CA,57426
Nick,Bern,6089  River Ave,Mammoth,CA,23434
Betty,Crocker,6999 Stream Ave,Bridgeport,CA,23434
